time,date,element,action,n_elem,url,label
2023-04-28,12:11:06.788050,password,Login_page,7,https://www.example.com,valid
2023-04-28,12:11:06.794753,password,Home_page,10,https://www.example.com,valid
2023-04-28,12:11:06.795179,btn,btn_secondary,8,https://www.example.com,valid
2023-04-28,12:11:06.799642,btn,btn_secondary,4,https://www.example.com,valid
2023-04-28,12:11:06.799753,shopping_cart_link,Home_page,4,https://www.example.com,valid
2023-04-28,12:11:06.799779,add-to-cart-sauce-labs-fleece-jacket,Login_page,129,https://www.saucedemo.com/inventory-item.html,fault
2023-04-28,12:11:06.799811,password,Product_page,6,https://www.example.com,valid
2023-04-28,12:11:06.799836,add-to-cart-sauce-labs-bike-light,Product_page,55,https://www.example.com,fault
2023-04-28,12:11:06.799931,react-burger-menu-btn,Login_page,5,https://www.example.com,valid
2023-04-28,12:11:06.799955,about_sidebar_link,Shopping_cart,1,https://www.example.com,valid
2023-04-28,12:11:06.799978,add-to-cart-sauce-labs-bike-light,Product_page,58,https://www.saucedemo.com/cart.html,fault
2023-04-28,12:11:06.800001,reset_sidebar_link,Shopping_cart,2,https://www.example.com,valid
2023-04-28,12:11:06.800047,add-to-cart-sauce-labs-bolt-t-shirt,Shopping_cart,4,https://www.example.com,valid
2023-04-28,12:11:06.800070,add-to-cart-sauce-labs-onesie,Product_page,10,https://www.example.com,valid
2023-04-28,12:11:06.800114,react-burger-menu-btn,Login_page,89,https://www.saucedemo.com/cart.html,fault
2023-04-28,12:11:06.800181,username,Home_page,7,https://www.example.com,valid
2023-04-28,12:11:06.800316,add-to-cart-sauce-labs-onesie,Home_page,9,https://www.saucedemo.com/inventory-item.html,fault
2023-04-28,12:11:06.800417,add-to-cart-sauce-labs-fleece-jacket,Product_page,6,https://www.example.com,valid
2023-04-28,12:11:06.800442,btn,btn_secondary,11,https://www.example.com,fault
2023-04-28,12:11:06.800476,btn,btn_action,9,https://www.example.com,valid
2023-04-28,12:11:06.800509,add-to-cart-sauce-labs-fleece-jacket,Home_page,1,https://www.example.com,valid
2023-04-28,12:11:06.800535,about_sidebar_link,Shopping_cart,2,https://www.example.com,valid
2023-04-28,12:11:06.800628,btn,btn_action,2,https://www.example.com,valid
2023-04-28,12:11:06.801105,shopping_cart_link,Login_page,7,https://www.example.com,valid
2023-04-28,12:11:06.801353,about_sidebar_link,Shopping_cart,7,https://www.example.com,valid
2023-04-28,12:11:06.801452,add-to-cart-sauce-labs-bolt-t-shirt,Shopping_cart,9,https://www.example.com,valid
2023-04-28,12:11:06.801484,react-burger-menu-btn,Shopping_cart,76,https://www.example.com,fault
2023-04-28,12:11:06.801527,add-to-cart-sauce-labs-bike-light,Shopping_cart,2,https://www.example.com,valid
2023-04-28,12:11:06.801641,add-to-cart-sauce-labs-bolt-t-shirt,Home_page,1,https://www.example.com,valid
2023-04-28,12:11:06.801708,add-to-cart-sauce-labs-fleece-jacket,Product_page,2,https://www.example.com,valid
2023-04-28,12:11:06.801765,add-to-cart-sauce-labs-fleece-jacket,Shopping_cart,8,https://www.example.com,valid
2023-04-28,12:11:06.801790,about_sidebar_link,Product_page,6,https://www.example.com,valid
2023-04-28,12:11:06.801821,reset_sidebar_link,Login_page,5,https://www.example.com,valid
2023-04-28,12:11:06.814039,btn,btn_secondary,2,https://www.example.com,valid
2023-04-28,12:11:06.814058,react-burger-menu-btn,Product_page,1,https://www.example.com,valid
2023-04-28,12:11:06.814094,add-to-cart-sauce-labs-onesie,Product_page,6,https://www.example.com,valid
2023-04-28,12:11:06.814111,add-to-cart-sauce-labs-bolt-t-shirt,Login_page,3,https://www.example.com,valid
2023-04-28,12:11:06.814146,product_sort_container,Home_page,7,https://www.example.com,valid
2023-04-28,12:11:06.814178,reset_sidebar_link,Home_page,2,https://www.example.com,valid
2023-04-28,12:11:06.814212,reset_sidebar_link,Home_page,9,https://www.example.com,valid
2023-04-28,12:11:06.814227,about_sidebar_link,Shopping_cart,7,https://www.example.com,valid
2023-04-28,12:11:06.814244,password,Shopping_cart,2,https://www.example.com,valid
2023-04-28,12:11:06.814261,submit-button,btn_action,41,https://www.saucedemo.com/inventory-item.html,fault
2023-04-28,12:11:06.814278,about_sidebar_link,Shopping_cart,92,https://www.saucedemo.com/cart.html,fault
